name,position,points
Chicago Bears,Def,187
Los Angeles Rams,Def,150
Houston Texans,Def,146
New England Patriots,Def,135
Baltimore Ravens,Def,132
Kansas City Chiefs,Def,130
Denver Broncos,Def,124
Minnesota Vikings,Def,124
Seattle Seahawks,Def,121
Washington Redskins,Def,120
Tennessee Titans,Def,119
Indianapolis Colts,Def,116
Miami Dolphins,Def,116
Jacksonville Jaguars,Def,115
Los Angeles Chargers,Def,112
Pittsburgh Steelers,Def,110
New Orleans Saints,Def,108
Buffalo Bills,Def,107
Arizona Cardinals,Def,103
New York Jets,Def,103
Detroit Lions,Def,100
Cleveland Browns,Def,98
Dallas Cowboys,Def,98
Philadelphia Eagles,Def,97
Green Bay Packers,Def,93
Carolina Panthers,Def,92
Cincinnati Bengals,Def,84
New York Giants,Def,84
Atlanta Falcons,Def,79
Tampa Bay Buccaneers,Def,68
San Francisco 49ers,Def,58
Oakland Raiders,Def,45
